"user_id","sign_up_date","age","gender","married","has_children","home_country","home_city","total_sessions","avg_session_duration_min","avg_page_clicks","total_bookings","num_cancellations","purchase_rate","cancellation_proportion","avg_flight_discount_perc","avg_hotel_discount_perc","flight_discount_proportion","hotel_discount_proportion","discount_purchase_rate","num_flights_booked","num_hotels_booked","user_id2","succesful_trips","avg_daygap_booking_to_flight","avg_daygap_booking_to_checkin","avg_trip_lenght","successful_flights","successful_hotels","avg_hotel_rooms","avg_hotel_nights","avg_seats_flight","avg_checked_bags","luggage_flight_proportion","luggage_trip_proportion","avg_distance_flown","flights_per_month","round_trips_proportion","avg_room_price_usd","avg_flight_price_usd","avg_price_per_seat","money_spend_hotel","money_spend_flight","usd_per_kilometer_flight","weekend_trip_proportion","season_preference"
"152583","2022-04-17","38","F","false","false","Usa","Colorado Springs","8","2.32","18.63","1","0","0.13","0.00","0.15","0.15","0.13","0.13","0.00","1","1","152583","1","8.68","8.88","5.00","1","1","1.00","2.00","1.00","2.00","1.00","1.00","2178.79","1.00","1.00","213.00","367.83","367.83","426","367.83","0.17","0.00","Summer"
"153982","2022-04-19","46","F","false","true","Canada","Toronto","8","2.31","18.75","3","0","0.38","0.00","","0.15","0.00","0.13","0.00","3","3","153982","3","9.12","9.27","2.67","3","3","1.00","1.33","1.00","0.33","0.33","0.33","1282.54","0.50","1.00","207.00","218.96","218.96","681","656.87","0.17","0.00","Spring"
"160754","2022-04-26","46","F","true","true","Usa","New York","8","1.35","10.75","1","0","0.13","0.00","","","0.00","0.00","","1","1","160754","1","11.75","11.86","4.00","1","1","1.00","2.00","1.00","1.00","1.00","1.00","526.12","1.00","1.00","214.00","93.62","93.62","428","93.62","0.18","0.00","Summer"
"164522","2022-04-30","48","F","true","false","Usa","Kansas City","8","1.39","11.13","1","0","0.13","0.00","0.05","0.05","0.25","0.13","0.33","1","1","164522","1","8.86","9.03","15.00","1","1","1.00","13.00","1.00","1.00","1.00","1.00","1786.07","1.00","1.00","233.00","328.32","328.32","3029","311.9040","0.17","0.00","Winter"
"167852","2022-05-03","18","F","false","false","Usa","Tampa","8","0.97","7.88","0","0","0.00","","0.10","0.10","0.13","0.25","0.00","0","0","167852","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Unknown"
"171470","2022-05-06","24","F","false","false","Usa","Atlanta","8","30.71","55.75","1","2","0.13","1.00","0.10","","0.13","0.00","1.00","1","0","171470","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Spring"
"174997","2022-05-10","32","F","false","false","Usa","Grand Rapids","8","16.53","31.50","2","1","0.25","0.33","","0.13","0.00","0.25","0.00","2","2","174997","2","8.05","8.21","3.50","2","2","1.00","2.00","1.00","0.00","0.00","0.00","1615.06","1.00","1.00","112.00","295.22","295.22","448","590.43","0.18","0.00","Winter"
"175032","2022-05-10","29","F","false","false","Usa","Houston","9","1.74","14.11","3","0","0.33","0.00","0.30","0.10","0.11","0.22","0.33","2","3","175032","3","5.88","7.55","3.50","2","3","2.00","4.33","2.00","0.50","0.50","0.33","1358.82","0.67","1.00","139.00","554.63","235.43","3243.60","1109.25","0.41","0.00","Spring"
"181157","2022-05-15","54","F","true","false","Usa","Houston","8","2.35","19.13","3","0","0.38","0.00","0.18","0.15","0.25","0.13","0.67","3","3","181157","3","5.94","6.08","4.67","3","3","2.00","3.33","2.00","1.00","0.67","0.67","1194.23","0.75","1.00","162.33","346.48","212.47","4987.80","959.0255","0.27","0.00","Spring"
"182191","2022-05-16","19","F","false","true","Usa","Phoenix","8","11.10","18.50","0","1","0.00","1.00","","0.10","0.00","0.13","0.00","0","0","182191","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Winter"
"187212","2022-05-21","55","F","true","true","Usa","Los Angeles","8","1.98","16.00","3","0","0.38","0.00","0.40","0.10","0.13","0.13","0.00","3","3","187212","3","8.68","8.89","3.33","3","3","1.00","2.00","1.00","0.67","0.67","0.67","2338.72","1.00","1.00","217.33","414.19","414.19","904","1242.57","0.18","0.00","Winter"
"189676","2022-05-23","36","F","false","true","Usa","Fort Worth","8","1.44","11.63","2","0","0.25","0.00","0.15","","0.13","0.00","0.00","1","2","189676","2","4.51","4.37","6.00","1","2","2.00","9.00","3.00","2.00","1.00","0.50","2284.55","1.00","1.00","180.50","1244.31","414.77","5001","1244.31","0.54","0.00","Spring"
"190866","2022-05-24","37","F","false","false","Usa","Tallahassee","9","2.56","20.67","5","0","0.56","0.00","","0.05","0.00","0.11","0.00","5","5","190866","5","7.74","7.94","3.20","5","5","1.00","2.00","1.00","0.40","0.40","0.40","2269.54","0.71","1.00","169.20","416.20","416.20","1496","2081.00","0.18","0.00","Winter"
"195192","2022-05-28","28","F","false","false","Usa","Chicago","8","3.47","28.13","1","0","0.13","0.00","0.10","0.10","0.13","0.13","0.00","1","1","195192","1","15.47","15.61","3.00","1","1","2.00","1.00","2.00","0.00","0.00","0.00","1174.42","1.00","1.00","160.00","394.29","197.15","320","394.29","0.34","0.00","Spring"
"204943","2022-06-06","41","M","false","false","Canada","Ottawa","8","17.39","36.50","6","1","0.75","0.17","0.15","","0.25","0.00","0.50","6","6","204943","5","8.65","8.82","4.40","5","5","1.60","3.00","1.60","1.40","0.60","0.60","1564.55","1.00","1.00","153.80","470.12","295.00","3873","2323.822","0.30","0.00","Spring"
"204997","2022-06-06","39","F","true","false","Usa","Kansas City","8","23.32","54.88","3","2","0.38","0.50","0.25","0.10","0.13","0.25","0.67","3","2","204997","2","7.87","9.08","7.00","2","1","1.00","4.00","1.00","0.50","0.50","0.50","1272.25","0.40","1.00","71.00","244.24","244.24","284","488.47","0.19","0.00","Spring"
"205044","2022-06-06","41","F","true","true","Canada","Toronto","9","1.84","14.89","3","0","0.33","0.00","0.05","","0.11","0.00","1.00","3","3","205044","3","6.66","6.87","5.67","3","3","2.00","4.67","2.00","0.33","0.33","0.33","2531.01","0.75","1.00","249.33","916.12","440.72","5642","2720.6975","0.36","0.00","Spring"
"206011","2022-06-07","40","F","false","true","Usa","Kansas City","8","2.44","19.50","4","0","0.50","0.00","0.05","0.20","0.13","0.25","0.67","4","3","206011","4","6.20","5.52","3.25","4","3","1.00","3.00","1.00","0.25","0.25","0.25","1473.55","1.00","1.00","113.33","261.65","261.65","1138","1024.7720","0.17","0.00","Spring"
"216796","2022-06-16","23","F","false","false","Usa","Cincinnati","8","8.19","15.63","1","1","0.13","1.00","0.17","0.10","0.38","0.13","0.25","1","1","216796","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Fall"
"217114","2022-06-17","20","O","true","true","Usa","Long Beach","9","0.83","6.56","0","0","0.00","","0.05","0.15","0.11","0.33","0.00","0","0","217114","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Unknown"
"217136","2022-06-17","39","F","false","true","Usa","Little Rock","8","1.66","13.25","2","0","0.25","0.00","0.18","","0.25","0.00","0.00","1","2","217136","2","7.82","6.29","3.00","1","2","1.00","2.00","1.00","0.00","0.00","0.00","2867.32","1.00","1.00","236.50","539.57","539.57","659","539.57","0.19","0.00","Winter"
"220725","2022-06-20","41","F","false","false","Usa","Stockton","9","15.81","35.11","4","1","0.44","0.25","0.15","0.05","0.11","0.11","0.50","4","3","220725","3","5.52","5.68","5.67","3","2","1.00","3.50","1.00","0.33","0.33","0.33","3082.25","0.60","1.00","140.00","511.14","511.14","962","1533.42","0.17","0.00","Spring"
"224996","2022-06-23","43","F","false","true","Canada","Halifax","8","1.58","12.75","2","0","0.25","0.00","","0.10","0.00","0.13","0.00","2","1","224996","2","8.80","8.85","2.50","2","1","1.00","1.00","1.00","0.00","0.00","0.00","2353.01","0.50","1.00","231.00","448.81","448.81","231","897.61","0.19","0.00","Winter"
"226367","2022-06-25","43","F","false","false","Usa","Washington","8","1.76","14.25","3","0","0.38","0.00","0.05","","0.13","0.00","1.00","3","3","226367","3","7.43","7.60","3.00","3","3","1.33","1.67","1.33","0.67","0.67","0.67","1655.82","0.60","1.00","253.00","296.40","277.71","1864","883.6010","0.18","0.00","Spring"
"228195","2022-06-26","27","F","false","true","Usa","Los Angeles","9","1.60","12.89","0","0","0.00","","0.20","","0.11","0.00","0.00","0","0","228195","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Unknown"
"228872","2022-06-27","35","M","false","false","Usa","San Antonio","8","1.97","15.75","2","0","0.25","0.00","0.35","","0.13","0.00","0.00","1","2","228872","2","5.36","6.40","6.00","1","2","1.00","6.50","1.00","1.00","1.00","0.50","2770.22","1.00","1.00","94.00","509.21","509.21","1288","509.21","0.18","0.00","Summer"
"229009","2022-06-27","18","F","false","false","Usa","Stockton","8","4.41","18.00","3","1","0.38","0.33","","","0.00","0.00","","3","2","229009","2","9.06","9.30","2.50","2","2","1.00","1.50","1.00","0.50","0.50","0.50","2949.67","0.67","1.00","149.50","530.82","530.82","474","1061.63","0.18","0.50","Spring"
"229108","2022-06-27","26","F","false","false","Usa","Burlington","8","16.87","40.13","1","1","0.13","1.00","0.20","0.10","0.25","0.25","0.00","1","0","229108","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Fall"
"229330","2022-06-27","47","F","true","false","Usa","Colorado Springs","8","2.00","16.13","4","0","0.50","0.00","","0.10","0.00","0.13","0.00","4","4","229330","4","7.93","8.08","3.50","4","4","1.75","1.75","1.75","0.25","0.25","0.25","1201.12","0.57","1.00","209.25","387.03","220.14","3521","1548.11","0.32","0.00","Summer"
"232647","2022-06-30","18","F","false","false","Usa","Birmingham","8","1.57","12.50","2","0","0.25","0.00","0.10","","0.13","0.00","0.00","1","1","232647","2","7.60","2.19","3.00","1","1","1.00","11.00","1.00","1.00","1.00","0.50","1391.58","1.00","1.00","213.00","237.10","237.10","2343","237.1","0.17","0.00","Winter"
"249521","2022-07-15","60","F","true","true","Canada","Ottawa","8","2.34","18.88","2","0","0.25","0.00","0.20","0.13","0.13","0.38","0.25","1","2","249521","2","8.82","7.88","3.00","1","2","1.00","1.50","1.00","1.00","1.00","0.50","3551.80","1.00","1.00","141.50","642.02","642.02","369.4","642.02","0.18","0.00","Spring"
"252835","2022-07-18","38","F","false","true","Usa","Chicago","8","1.80","14.63","5","0","0.63","0.00","0.30","0.05","0.13","0.13","0.50","5","4","252835","5","7.94","8.57","4.20","5","4","1.00","2.75","1.00","0.60","0.60","0.60","1867.78","0.71","1.00","132.75","335.31","335.31","1460","1615.635","0.17","0.00","Winter"
"258451","2022-07-22","23","F","false","false","Usa","Miami","8","3.66","20.88","1","1","0.13","1.00","0.15","","0.13","0.00","0.00","0","1","258451","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Summer"
"264470","2022-07-27","45","F","false","true","Usa","Bakersfield","8","1.85","14.75","2","0","0.25","0.00","0.05","0.10","0.13","0.13","0.50","2","2","264470","2","8.56","8.76","5.50","2","2","1.00","4.50","1.00","0.50","0.50","0.50","2305.16","1.00","1.00","200.00","436.51","436.51","2127","835.2175","0.18","0.00","Spring"
"276512","2022-08-06","42","F","true","true","Usa","Austin","8","1.53","12.25","1","0","0.13","0.00","0.13","0.13","0.25","0.25","0.00","1","1","276512","1","10.19","10.40","3.00","1","1","1.00","1.00","1.00","1.00","1.00","1.00","2299.15","1.00","1.00","100.00","395.69","395.69","100","395.69","0.17","0.00","Winter"
"281952","2022-08-11","37","F","false","false","Usa","Louisville","8","2.44","19.75","2","0","0.25","0.00","","0.15","0.00","0.13","1.00","2","2","281952","2","7.67","7.85","2.00","2","2","1.00","1.00","1.00","1.50","1.00","1.00","1845.01","0.40","1.00","131.50","342.36","342.36","236.30","684.72","0.19","0.00","Summer"
"283325","2022-08-12","51","F","true","false","Usa","Dallas","8","1.76","14.25","2","0","0.25","0.00","0.08","0.10","0.25","0.13","0.33","1","2","283325","2","5.52","9.16","6.00","1","2","1.50","3.00","1.00","0.00","0.00","0.00","2650.43","1.00","1.00","360.50","453.27","453.27","2884","407.943","0.15","0.00","Spring"
"290123","2022-08-18","41","F","true","false","Usa","Houston","9","2.60","21.11","7","0","0.78","0.00","","","0.00","0.00","","7","6","290123","7","6.54","6.55","2.67","7","6","1.67","2.50","1.57","0.86","0.57","0.57","2400.65","1.00","0.86","240.00","685.16","400.45","4605","4796.11","0.29","0.00","Spring"
"297546","2022-08-24","51","F","true","false","Usa","New York","8","3.22","25.88","5","0","0.63","0.00","","0.05","0.00","0.13","1.00","4","5","297546","5","5.53","6.91","4.75","4","5","1.40","5.20","1.50","0.75","0.75","0.60","1784.73","0.57","1.00","106.00","415.18","332.03","3542.00","1660.72","0.23","0.00","Winter"
"298253","2022-08-24","47","F","true","true","Usa","Los Angeles","8","1.53","12.25","1","0","0.13","0.00","0.23","0.15","0.25","0.13","0.00","1","0","298253","1","6.50","","2.00","1","0","","","1.00","2.00","1.00","1.00","3974.21","1.00","1.00","","712.42","712.42","","712.42","0.18","0.00","Spring"
"299476","2022-08-25","39","F","true","false","Usa","Atlanta","9","2.57","20.78","1","0","0.11","0.00","0.20","0.13","0.22","0.22","0.00","1","1","299476","1","7.87","8.01","3.00","1","1","1.00","1.00","1.00","0.00","0.00","0.00","1109.92","1.00","1.00","71.00","192.38","192.38","71","192.38","0.17","0.00","Winter"
"306165","2022-08-31","21","F","false","false","Usa","Cleveland","8","1.38","11.13","0","0","0.00","","","","0.00","0.00","","0","0","306165","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Unknown"
"306819","2022-09-01","60","F","true","true","Usa","New York","8","17.70","41.13","2","1","0.25","0.50","0.05","0.05","0.13","0.13","0.00","2","2","306819","1","4.50","4.59","3.00","1","1","1.00","1.00","1.00","1.00","1.00","1.00","295.37","1.00","1.00","370.00","50.16","50.16","370","50.16","0.17","0.00","Winter"
"312488","2022-09-05","31","M","true","false","Usa","New York","8","1.18","9.50","1","0","0.13","0.00","0.25","0.20","0.13","0.13","0.00","1","1","312488","1","6.36","6.56","1.00","1","1","1.00","1.00","1.00","1.00","1.00","1.00","2265.46","1.00","1.00","299.00","407.10","407.10","299","407.1","0.18","0.00","Summer"
"313724","2022-09-06","52","F","false","false","Usa","Tulsa","8","18.51","43.88","5","1","0.63","0.20","","","0.00","0.00","","4","5","313724","4","6.22","12.95","3.67","3","4","1.50","3.75","1.33","0.67","0.67","0.50","1667.26","0.75","1.00","180.75","385.61","289.28","3392","1156.84","0.23","0.00","Spring"
"316527","2022-09-08","42","F","true","true","Canada","Winnipeg","8","2.17","17.38","4","0","0.50","0.00","0.15","0.05","0.13","0.13","0.50","4","4","316527","4","7.84","8.03","4.25","4","4","1.25","3.00","1.25","0.25","0.25","0.25","2014.80","1.00","1.00","322.75","434.97","347.88","5658.30","1739.89","0.22","0.00","Winter"
"317688","2022-09-09","41","F","false","true","Usa","Indianapolis","8","2.07","16.63","4","0","0.50","0.00","0.25","0.05","0.25","0.13","0.33","4","4","317688","4","8.73","8.90","2.75","4","4","1.00","1.50","1.00","0.50","0.50","0.50","1608.41","0.57","1.00","168.25","309.69","309.69","1172.90","1238.74","0.19","0.00","Summer"
"322867","2022-09-14","46","F","false","false","Usa","Mobile","8","1.28","10.25","1","0","0.13","0.00","0.13","0.10","0.25","0.25","0.00","1","1","322867","1","6.83","6.96","8.00","1","1","1.00","7.00","1.00","1.00","1.00","1.00","921.78","1.00","1.00","189.00","173.04","173.04","1323","173.04","0.19","0.00","Winter"
"324191","2022-09-15","40","F","false","false","Usa","San Diego","8","1.34","10.75","2","0","0.25","0.00","0.10","0.15","0.25","0.13","0.00","2","2","324191","2","10.17","10.26","6.00","2","2","1.50","4.50","1.50","0.50","0.50","0.50","175.77","1.00","1.00","273.50","49.87","32.25","1610","99.74","0.28","0.00","Winter"
"328590","2022-09-18","56","F","false","false","Usa","San Diego","8","18.09","47.88","3","1","0.38","0.33","0.10","0.15","0.13","0.25","0.67","3","2","328590","2","8.53","8.77","6.50","2","2","2.00","4.50","2.00","0.50","0.50","0.50","3042.62","0.50","1.00","155.00","1101.98","568.30","2596.25","2203.95","0.36","0.00","Spring"
"330764","2022-09-20","39","F","false","false","Usa","Detroit","8","17.69","46.88","3","1","0.38","0.33","","0.05","0.00","0.13","1.00","1","2","330764","2","","6.19","","0","2","1.00","4.50","","","","0.00","","","","129.50","","","1094","","","0.00","Spring"
"330893","2022-09-20","43","F","true","true","Usa","Oklahoma City","8","2.07","16.63","3","0","0.38","0.00","","0.05","0.00","0.13","0.00","3","3","330893","3","5.91","6.08","3.33","3","3","1.00","2.00","1.00","0.67","0.67","0.67","1582.80","0.43","1.00","138.00","287.20","287.20","750","861.61","0.18","0.00","Winter"
"331039","2022-09-20","45","F","true","true","Canada","London","8","10.17","24.75","1","1","0.13","1.00","0.10","0.08","0.13","0.25","0.33","1","1","331039","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Winter"
"334787","2022-09-23","53","F","false","false","Usa","Minneapolis","8","1.85","14.88","3","0","0.38","0.00","0.05","","0.25","0.00","0.50","3","3","334787","3","5.65","5.80","3.00","3","3","1.00","2.00","1.00","0.67","0.67","0.67","1394.80","1.50","1.00","169.00","252.72","252.72","864","749.4475","0.18","0.00","Spring"
"337227","2022-09-25","35","F","true","false","Usa","Santa Ana","8","1.28","10.38","0","0","0.00","","","0.05","0.00","0.13","0.00","0","0","337227","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Unknown"
"338086","2022-09-25","40","F","false","true","Usa","Washington","8","2.14","17.13","2","0","0.25","0.00","0.30","0.20","0.13","0.13","0.50","2","2","338086","2","7.33","7.55","2.50","2","2","1.00","1.50","1.00","0.50","0.50","0.50","2745.67","0.40","1.00","63.00","490.85","490.85","192.0","981.69","0.18","0.00","Spring"
"340166","2022-09-27","51","M","true","true","Usa","San Francisco","8","1.36","11.00","1","0","0.13","0.00","0.10","0.10","0.13","0.13","0.00","0","1","340166","1","","3.06","","0","1","1.00","2.00","","","","0.00","","","","237.00","","","474","","","0.00","Spring"
"343928","2022-09-30","65","F","true","false","Usa","El Paso","8","1.88","15.25","2","0","0.25","0.00","0.30","0.10","0.25","0.13","0.33","2","1","343928","2","170.76","5.31","8.00","2","1","1.00","3.00","1.50","0.50","0.50","0.50","8138.69","0.12","1.00","116.00","2775.31","1497.96","348","4528.74","0.28","0.00","Summer"
"347778","2022-10-03","50","F","false","false","Usa","Las Vegas","9","2.22","18.00","5","0","0.56","0.00","0.15","","0.22","0.00","0.00","5","4","347778","5","6.20","6.35","3.00","5","4","1.75","2.25","1.60","1.00","0.80","0.80","2487.97","1.00","1.00","226.75","846.74","436.61","4474","4233.69","0.34","0.20","Summer"
"348817","2022-10-04","29","F","false","false","Canada","Calgary","8","1.94","15.63","4","0","0.50","0.00","0.05","","0.13","0.00","0.00","3","4","348817","4","5.75","5.63","3.33","3","4","1.00","2.25","1.00","0.67","0.67","0.50","2651.48","0.60","1.00","259.00","458.21","458.21","2622","1374.62","0.17","0.25","Winter"
"348863","2022-10-04","67","F","true","false","Usa","San Antonio","8","1.24","10.13","0","0","0.00","","","0.10","0.00","0.13","0.00","0","0","348863","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Unknown"
"349132","2022-10-04","49","F","false","false","Usa","Cincinnati","9","1.84","14.78","3","0","0.33","0.00","","0.10","0.00","0.11","1.00","2","3","349132","3","7.10","7.41","4.50","2","3","1.67","4.67","2.00","0.50","0.50","0.33","1057.67","0.67","1.00","193.67","360.53","195.63","3516.1","721.06","0.34","0.00","Winter"
"350648","2022-10-05","18","F","false","false","Usa","Lincoln","8","13.45","36.88","1","1","0.13","1.00","0.18","0.10","0.25","0.13","0.00","1","1","350648","0","","","","0","0","","","","","","","","","","","","","","","","0.00","Summer"
"353271","2022-10-07","27","F","false","true","Usa","Milwaukee","8","1.32","10.50","1","0","0.13","0.00","0.15","0.15","0.13","0.13","0.00","1","1","353271","1","5.49","5.63","1.00","1","1","2.00","1.00","2.00","0.00","0.00","0.00","1196.56","1.00","1.00","136.00","408.40","204.20","272","408.4","0.34","0.00","Spring"
"353694","2022-10-07","40","F","false","true","Usa","New York","8","1.54","12.50","2","0","0.25","0.00","0.08","","0.38","0.00","0.00","2","2","353694","2","7.97","8.12","6.00","2","2","1.50","4.50","1.50","0.50","0.50","0.50","1355.49","0.33","0.50","124.00","230.69","167.65","1634","461.37","0.17","0.00","Summer"
"354050","2022-10-07","50","F","false","false","Usa","Detroit","8","2.65","21.50","5","0","0.63","0.00","0.05","0.05","0.13","0.13","1.00","5","5","354050","5","8.37","8.57","3.50","5","5","1.20","2.40","1.20","0.20","0.20","0.20","2150.17","0.83","0.80","210.40","391.58","324.47","2512.60","1928.7760","0.18","0.00","Spring"
"354260","2022-10-07","49","F","false","false","Usa","Providence","8","1.80","14.50","2","0","0.25","0.00","0.15","","0.25","0.00","0.00","2","1","354260","2","11.01","8.87","2.50","2","1","1.00","2.00","1.00","1.00","1.00","1.00","3329.33","1.00","1.00","260.00","582.51","582.51","520","1165.01","0.17","0.00","Winter"
"354311","2022-10-08","46","F","true","false","Usa","Tucson","8","1.53","12.25","2","0","0.25","0.00","0.10","","0.13","0.00","0.00","2","1","354311","2","7.23","6.69","2.50","2","1","1.00","3.00","1.00","0.50","0.50","0.50","3061.81","1.00","1.00","97.00","536.45","536.45","291","1072.89","0.18","0.00","Spring"
"354950","2022-10-08","53","M","true","false","Usa","Amarillo","8","1.57","12.50","1","0","0.13","0.00","","0.10","0.00","0.13","0.00","1","1","354950","1","4.55","4.76","7.00","1","1","1.00","6.00","1.00","1.00","1.00","1.00","2463.06","1.00","1.00","127.00","460.54","460.54","762","460.54","0.19","0.00","Winter"
"356046","2022-10-09","34","F","false","false","Canada","Ottawa","8","1.57","12.63","2","0","0.25","0.00","0.15","0.05","0.13","0.13","0.00","2","2","356046","2","8.49","8.67","3.00","2","2","1.50","2.00","1.50","0.00","0.00","0.00","1896.99","1.00","1.00","97.50","391.91","352.33","705","783.81","0.21","0.00","Spring"
"357737","2022-10-10","41","F","true","true","Usa","San Diego","8","18.35","52.38","5","1","0.63","0.20","","0.08","0.00","0.38","0.67","4","5","357737","4","7.02","7.61","3.67","3","4","1.00","3.00","1.00","0.00","0.00","0.00","3670.05","1.00","1.00","131.75","653.23","653.23","1236.10","1959.70","0.18","0.00","Winter"
"359072","2022-10-11","51","F","true","true","Canada","Montreal","8","16.40","39.75","3","1","0.38","0.33","0.20","","0.25","0.00","0.00","3","3","359072","2","8.57","8.67","3.00","2","2","1.00","1.50","1.00","0.50","0.50","0.50","384.77","0.67","1.00","165.00","66.58","66.58","447","133.15","0.17","0.00","Spring"
"359080","2022-10-11","42","F","true","false","Usa","New York","8","1.98","15.75","4","0","0.50","0.00","0.10","0.20","0.13","0.13","0.50","4","2","359080","4","76.90","7.26","6.25","4","2","1.00","2.00","1.25","1.00","1.00","1.00","4617.66","0.25","1.00","338.50","1288.39","816.97","1383","5153.56","0.28","0.00","Spring"
"359653","2022-10-12","55","M","false","false","Canada","Victoria","8","1.97","15.88","2","0","0.25","0.00","0.25","0.08","0.13","0.25","0.33","2","2","359653","2","7.00","7.20","3.00","2","2","1.00","1.50","1.00","1.00","1.00","1.00","2238.60","1.00","1.00","215.00","392.17","392.17","649.2","784.33","0.18","0.00","Winter"
"361459","2022-10-13","41","F","true","true","Usa","Houston","8","0.93","7.38","1","0","0.13","0.00","","0.13","0.00","0.25","0.00","1","1","361459","1","6.97","7.17","3.00","1","1","1.00","1.00","1.00","1.00","1.00","1.00","2289.60","1.00","1.00","165.00","393.91","393.91","165","393.91","0.17","0.00","Winter"
"361759","2022-10-13","53","F","true","false","Canada","Winnipeg","9","1.90","15.44","4","0","0.44","0.00","0.15","0.08","0.33","0.22","0.20","4","3","361759","4","8.33","8.84","2.50","4","3","1.00","1.33","1.00","0.50","0.50","0.50","2261.47","1.00","1.00","79.67","415.15","415.15","295.70","1660.59","0.18","0.00","Winter"
